央视,#genre#
CCTV1综合,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/cctv/cctv1hd/2500
CCTV1综合,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv1hd265/57/20191230
CCTV2财经,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv2hd265/55/20200407
CCTV2财经,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/cctv/cctv2hd/3000
CCTV3综艺,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/cctv3hd/3000
CCTV4中文国际,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv4hd265/57/20191230
CCTV4中文国际,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/cctv/cctv4hd/3000
CCTV4中文国际-美洲,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv4meihd/57
CCTV4中文国际-欧洲,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv4ouhd/57
CCTV5体育,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv5hd265/57/20191230
CCTV5体育,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/cctv/cctv5hdnew/2500
CCTV5+体育赛事,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/cctv/cctv5plusnew/2500
CCTV6电影,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv6hd265/55/20200407
CCTV6电影,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/cctv6hd/3000
CCTV7国防军事,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv7hd/57
CCTV8电视剧,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv8hd265/55/20200407
CCTV8电视剧,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/cctv8hd/3000
CCTV9纪录,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv9hd/57
CCTV10科教,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv10hd265/55/20200407
CCTV10科教,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/cctv10hd/3000
CCTV11戏曲,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv11hd265/55/20200407
CCTV11戏曲,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv11hd/57/20200103
CCTV12社会与法,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv12hd/57
CCTV13新闻,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv13/57/20220913
CCTV14少儿,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/cctv14hd265/55/20200407
CCTV14少儿,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/cctv14hd/3000
CCTV15音乐,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv15hd/57
CCTV17农村农业,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/20200324/cctv17hd/57

地方卫视,#genre#
东方卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/dongfanghd265/57/20191230
东方卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r4/dfl/dongfangwshd/3000
江苏卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/jswshd265/55/20200407
江苏卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/cctv/jiangsuhd/2500
江西卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/jxwshd/57/20190820
山东卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r4/yg/shandongwshd/3000
陕西卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/shan3xiws/57/20220809
广东卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/gdwshd265/55/20200407
广东卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=ws_w/2018/gdws/gdws711/1000
湖南卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/hunanhd265/57/20191230
湖南卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd-hunanhd-2500
辽宁卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/lnwshd265/55/20200407
辽宁卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/liaoningwshd/3000
湖北卫视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=migu/kailu/hbwshd265/55/20200407
上视新闻综合,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r4/dfl/xinwenzonghehd/3000
上视东方影视,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r4/dfl/dianshijuhd/3000
上视纪实人文,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/jspdhd/3000
上视游戏风云,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r2/ocn/youxifengyunhd/3000
CHC家庭影院,http://playmonk.freevar.com/iptv/iptv_bestv_p03.php?id=wd_r3/cnr/chcjtyy/3000

TEST,#genre#
